"Name","File"
"Microsoft PhagsPa (TrueType)","phagspa.ttf"
"Microsoft PhagsPa Bold (TrueType)","phagspab.ttf"
"Microsoft Sans Serif (TrueType)","micross.ttf"
"Microsoft Tai Le (TrueType)","taile.ttf"
"Microsoft Tai Le Bold (TrueType)","taileb.ttf"
"Microsoft Uighur (TrueType)","MSUIGHUR.TTF"
"Microsoft Uighur Bold (TrueType)","MSUIGHUB.TTF"
"Microsoft YaHei & Microsoft YaHei UI (TrueType)","msyh.ttc"
"Microsoft YaHei Bold & Microsoft YaHei UI Bold (TrueType)","msyhbd.ttc"
"Microsoft YaHei Light & Microsoft YaHei UI Light (TrueType)","msyhl.ttc"
"Microsoft Yi Baiti (TrueType)","msyi.ttf"
"MingLiU-ExtB & PMingLiU-ExtB & MingLiU_HKSCS-ExtB (TrueType)","mingliub.ttc"
"Mistral (TrueType)","MISTRAL.TTF"
"Modern (All res)","modern.fon"
"Modern No. 20 (TrueType)","MOD20.TTF"
"Mongolian Baiti (TrueType)","monbaiti.ttf"
"Monotype Corsiva (TrueType)","MTCORSVA.TTF"
"MS Gothic & MS UI Gothic & MS PGothic (TrueType)","msgothic.ttc"
"MS Outlook (TrueType)","OUTLOOK.TTF"
"MS Reference Sans Serif (TrueType)","REFSAN.TTF"
"MS Reference Specialty (TrueType)","REFSPCL.TTF"
"MT Extra (TrueType)","MTEXTRA.TTF"
"MV Boli (TrueType)","mvboli.ttf"
"Myanmar Text (TrueType)","mmrtext.ttf"
"Myanmar Text Bold (TrueType)","mmrtextb.ttf"
"NanumGothic (TrueType)",".TTF"
"NanumGothicBold (TrueType)","BOLD.TTF"
"NanumGothicExtraBold (TrueType)","EXTRABOLD.TTF"
"NewJumja (TrueType)","JUMJA.TTF"
"Niagara Engraved (TrueType)","NIAGENG.TTF"
"Niagara Solid (TrueType)","NIAGSOL.TTF"
"Nirmala UI & Nirmala UI Bold & Nirmala UI Semilight & Nirmala Text & Nirmala Text Bold & Nirmala Text Semilight (TrueType)","Nirmala.ttc"
"Noto Sans KR (TrueType)","NotoSansKR-VF.ttf"
"Noto Serif KR (TrueType)","NotoSerifKR-VF.ttf"
"OCR A Extended (TrueType)","OCRAEXT.TTF"
"Old English Text MT (TrueType)","OLDENGL.TTF"
"Onyx (TrueType)","ONYX.TTF"
"Palace Script MT (TrueType)","PALSCRI.TTF"
"Palatino Linotype (TrueType)","pala.ttf"
"Palatino Linotype Bold (TrueType)","palab.ttf"
"Palatino Linotype Bold Italic (TrueType)","palabi.ttf"
"Palatino Linotype Italic (TrueType)","palai.ttf"
"Papyrus (TrueType)","PAPYRUS.TTF"
"Parchment (TrueType)","PARCHM.TTF"
"Perpetua (TrueType)","PER_____.TTF"
"Perpetua Bold (TrueType)","PERB____.TTF"
"Perpetua Bold Italic (TrueType)","PERBI___.TTF"
"Perpetua Italic (TrueType)","PERI____.TTF"
"Perpetua Titling MT Bold (TrueType)","PERTIBD.TTF"
"Perpetua Titling MT Light (TrueType)","PERTILI.TTF"
"Playbill (TrueType)","PLAYBILL.TTF"
"Poor Richard (TrueType)","POORICH.TTF"
"Pristina (TrueType)","PRISTINA.TTF"
"Rage Italic (TrueType)","RAGE.TTF"
"Ravie (TrueType)","RAVIE.TTF"
"Rockwell (TrueType)","ROCK.TTF"
"Rockwell Bold (TrueType)","ROCKB.TTF"
"Rockwell Bold Italic (TrueType)","ROCKBI.TTF"
"Rockwell Condensed (TrueType)","ROCC____.TTF"
"Rockwell Condensed Bold (TrueType)","ROCCB___.TTF"
"Rockwell Extra Bold (TrueType)","ROCKEB.TTF"
"Rockwell Italic (TrueType)","ROCKI.TTF"
"Roman (All res)","roman.fon"
"Sans Serif Collection (TrueType)","SansSerifCollection.ttf"
"Script (All res)","script.fon"
"Script MT Bold (TrueType)","SCRIPTBL.TTF"
"Segoe Fluent Icons (TrueType)","SegoeIcons.ttf"
"Segoe MDL2 Assets (TrueType)","segmdl2.ttf"
"Segoe Print (TrueType)","segoepr.ttf"
"Segoe Print Bold (TrueType)","segoeprb.ttf"
"Segoe Script (TrueType)","segoesc.ttf"
"Segoe Script Bold (TrueType)","segoescb.ttf"
"Segoe UI (TrueType)","segoeui.ttf"
"Segoe UI Black (TrueType)","seguibl.ttf"
"Segoe UI Black Italic (TrueType)","seguibli.ttf"
"Segoe UI Bold (TrueType)","segoeuib.ttf"
"Segoe UI Bold Italic (TrueType)","segoeuiz.ttf"
"Segoe UI Emoji (TrueType)","seguiemj.ttf"
"Segoe UI Historic (TrueType)","seguihis.ttf"
"Segoe UI Italic (TrueType)","segoeuii.ttf"
"Segoe UI Light (TrueType)","segoeuil.ttf"
"Segoe UI Light Italic (TrueType)","seguili.ttf"
"Segoe UI Semibold (TrueType)","seguisb.ttf"
"Segoe UI Semibold Italic (TrueType)","seguisbi.ttf"
"Segoe UI Semilight (TrueType)","segoeuisl.ttf"
"Segoe UI Semilight Italic (TrueType)","seguisli.ttf"
"Segoe UI Symbol (TrueType)","seguisym.ttf"
"Segoe UI Variable (TrueType)","SegUIVar.ttf"
"Showcard Gothic (TrueType)","SHOWG.TTF"
"SimSun & NSimSun (TrueType)","simsun.ttc"
"SimSun-ExtB (TrueType)","simsunb.ttf"
"SimSun-ExtG (TrueType)","SimsunExtG.ttf"
"Sitka Text (TrueType)","SitkaVF.ttf"
"Sitka Text Italic (TrueType)","SitkaVF-Italic.ttf"
"Snap ITC (TrueType)","SNAP____.TTF"
"STCaiyun (TrueType)","STCAIYUN.TTF"
"Stencil (TrueType)","STENCIL.TTF"
"STFangsong (TrueType)","STFANGSO.TTF"
"STHupo (TrueType)","STHUPO.TTF"
"STKaiti (TrueType)","STKAITI.TTF"
"STLiti (TrueType)","STLITI.TTF"
"STSong (TrueType)","STSONG.TTF"
"STXihei (TrueType)","STXIHEI.TTF"
"STXingkai (TrueType)","STXINGKA.TTF"
"STXinwei (TrueType)","STXINWEI.TTF"
"STZhongsong (TrueType)","STZHONGS.TTF"
"Sylfaen (TrueType)","sylfaen.ttf"
"Symbol (TrueType)","symbol.ttf"
"Tahoma (TrueType)","tahoma.ttf"
"Tahoma Bold (TrueType)","tahomabd.ttf"
"Tempus Sans ITC (TrueType)","TEMPSITC.TTF"
"Times New Roman (TrueType)","times.ttf"
"Times New Roman Bold (TrueType)","timesbd.ttf"
"Times New Roman Bold Italic (TrueType)","timesbi.ttf"
"Times New Roman Italic (TrueType)","timesi.ttf"
"Trebuchet MS (TrueType)","trebuc.ttf"
"Trebuchet MS Bold (TrueType)","trebucbd.ttf"
"Trebuchet MS Bold Italic (TrueType)","trebucbi.ttf"
"Trebuchet MS Italic (TrueType)","trebucit.ttf"
"Tw Cen MT (TrueType)","TCM_____.TTF"
"Tw Cen MT Bold (TrueType)","TCB_____.TTF"
"Tw Cen MT Bold Italic (TrueType)","TCBI____.TTF"
"Tw Cen MT Condensed (TrueType)","TCCM____.TTF"
"Tw Cen MT Condensed Bold (TrueType)","TCCB____.TTF"
"Tw Cen MT Condensed Extra Bold (TrueType)","TCCEB.TTF"
"Tw Cen MT Italic (TrueType)","TCMI____.TTF"
"Verdana (TrueType)","verdana.ttf"
"Verdana Bold (TrueType)","verdanab.ttf"
"Verdana Bold Italic (TrueType)","verdanaz.ttf"
"Verdana Italic (TrueType)","verdanai.ttf"
"Viner Hand ITC (TrueType)","VINERITC.TTF"
"Vivaldi Italic (TrueType)","VIVALDII.TTF"
"Vladimir Script (TrueType)","VLADIMIR.TTF"
"Webdings (TrueType)","webdings.ttf"
"Wide Latin (TrueType)","LATINWD.TTF"
"Wingdings (TrueType)","wingding.ttf"
"Wingdings 2 (TrueType)","WINGDNG2.TTF"
"Wingdings 3 (TrueType)","WINGDNG3.TTF"
"YouYuan (TrueType)","SIMYOU.TTF"
"Yu Gothic Bold & Yu Gothic UI Semibold & Yu Gothic UI Bold (TrueType)","YuGothB.ttc"
"Yu Gothic Light & Yu Gothic UI Light (TrueType)","YuGothL.ttc"
"Yu Gothic Medium & Yu Gothic UI Regular (TrueType)","YuGothM.ttc"
"Yu Gothic Regular & Yu Gothic UI Semilight (TrueType)","YuGothR.ttc"
"새굴림 (TrueType)","NGULIM.TTF"
"휴먼둥근헤드라인 (TrueType)","HMKMRHD.TTF"
"휴먼매직체 (TrueType)","HMKMMAG.TTF"
"휴먼모음T & 휴먼엑스포 (TrueType)","HMFMMUEX.TTC"
"휴먼아미체 (TrueType)","HMKMAMI.TTF"
"휴먼옛체 (TrueType)","HMFMOLD.TTF"
"휴먼편지체 (TrueType)","HMFMPYUN.TTF"
